feature,importance,importance_std
is_new_customer,0.019100957511274597,0.00452033387497151
tenure,0.017745095773425156,0.006433062884347327
Contract,0.017679695235069282,0.009662053996616422
TotalCharges,0.0073079403376704825,0.0023362191994376036
InternetService,0.0061798657221567525,0.006172648014701049
MonthlyCharges,0.0048523182040317026,0.006515910192978685
SeniorCitizen,0.004457218274053066,0.0019038878440564377
charge_per_service,0.003624410212429907,0.0016542104278433462
tenure_group,0.0018149312556409503,0.00255315983619464
StreamingMovies,0.0014122848366582065,0.00257164392441793
OnlineSecurity,0.0008405853123713669,0.006832761289033003
PaperlessBilling,0.000693439794678219,0.003997981236965958
num_add_on_services,0.0,0.0
StreamingTV,-7.453710188365381e-06,0.003850751795606134
MultipleLines,-0.00022941425504836578,0.003914574008353516
Partner,-0.0005436736174408097,0.0006543295837047278
PaymentMethod,-0.0006626600572429142,0.00439784656765334
avg_monthly_spend,-0.001158405995730505,0.0015670289390927678
TechSupport,-0.0016019711467637032,0.0045217918295126155
PhoneService,-0.0018482865430961449,0.0013848558724425958
gender,-0.0021644884568917553,0.0009698286418106037
has_internet_service,-0.0022282627917767474,0.0032381565663666583
OnlineBackup,-0.0022335539409919837,0.0033532523924075176
DeviceProtection,-0.0027527534431770694,0.0025579429135766697
Dependents,-0.003440327915707142,0.003941490578998166
