encoded_feature,native_importance
categorical__Contract_Month-to-month,0.4884927185625345
categorical__Contract_Two year,0.41635443492875857
numeric__tenure,0.3791057968782443
categorical__InternetService_Fiber optic,0.29762516792811866
numeric__is_new_customer,0.2736940360763015
categorical__PaperlessBilling_Yes,0.2640390642000377
categorical__PaymentMethod_Electronic check,0.2595538397342101
categorical__InternetService_DSL,0.2469642466295089
numeric__MonthlyCharges,0.23752906286711112
categorical__OnlineSecurity_No,0.2094866309665359
categorical__TechSupport_No,0.1898047334683124
categorical__MultipleLines_No,0.17976849135988024
categorical__OnlineSecurity_Yes,0.1588257096679263
categorical__tenure_group_0-12,0.15709185002536555
categorical__Dependents_Yes,0.1539402693016899
categorical__TechSupport_Yes,0.13914381216970242
categorical__StreamingMovies_Yes,0.12875586011192086
categorical__StreamingTV_Yes,0.1238387710201101
numeric__has_internet_service,0.12291017615212128
numeric__TotalCharges,0.11748326708351157
categorical__tenure_group_61-72,0.11381768302313577
categorical__MultipleLines_No phone service,0.09511533214301192
categorical__PhoneService_Yes,0.0949547075210647
categorical__OnlineBackup_No,0.09454057510731191
categorical__PaymentMethod_Bank transfer (automatic),0.09184678486756322
categorical__PaymentMethod_Credit card (automatic),0.09093125457381687
numeric__SeniorCitizen,0.08508545621586328
categorical__MultipleLines_Yes,0.08481378383881517
categorical__StreamingMovies_No,0.07809493881331138
categorical__PaymentMethod_Mailed check,0.07661517567088333
categorical__StreamingTV_No,0.07317784972150064
categorical__Contract_One year,0.07197765901182931
categorical__tenure_group_25-48,0.06533734909939873
numeric__charge_per_service,0.051452250462401726
categorical__OnlineSecurity_No internet service,0.05050029667666256
categorical__StreamingMovies_No internet service,0.05050029667666256
categorical__StreamingTV_No internet service,0.05050029667666256
categorical__DeviceProtection_No internet service,0.05050029667666256
categorical__InternetService_No,0.05050029667666256
categorical__OnlineBackup_No internet service,0.05050029667666256
categorical__TechSupport_No internet service,0.05050029667666256
categorical__DeviceProtection_No,0.04659381464404328
categorical__OnlineBackup_Yes,0.04387965380870236
numeric__avg_monthly_spend,0.024982276718766485
categorical__tenure_group_49-60,0.02112482405281519
categorical__gender_Male,0.019166788767635733
categorical__Partner_Yes,0.018772792418297834
categorical__DeviceProtection_Yes,0.004067106654566158
categorical__tenure_group_13-24,0.0010989826663008228
numeric__num_add_on_services,0.00037586071558267677
